attendance_percentage,internal_marks,assignment_score,study_hours_per_week,risk_level
68,73,56,4.4,Medium
84,89,89,11.0,Low
72,58,70,5.6,Medium
96,95,83,11.1,Low
77,72,70,9.9,Low
53,38,35,2.1,High
43,16,46,1.1,High
66,52,60,6.0,Medium
88,78,90,9.1,Low
94,82,92,19.8,Low
64,61,77,9.1,Medium
67,62,62,8.4,Medium
24,16,28,3.6,High
28,23,50,1.5,High
63,65,68,6.5,Medium
93,90,98,10.3,Low
83,75,93,20.5,Low
85,87,80,11.9,Low
93,77,90,12.4,Low
81,97,77,11.4,Low
96,88,94,18.5,Low
88,79,81,17.3,Low
95,75,95,20.2,Low
56,69,63,7.9,Medium
52,51,48,2.8,High
41,44,51,2.0,High
38,30,42,2.2,High
66,68,77,7.1,Medium
79,88,80,20.8,Low
79,91,83,21.1,Low
79,89,78,15.0,Low
65,73,64,8.9,Low
62,70,67,6.1,Medium
85,79,80,21.3,Low
68,64,63,5.9,Medium
92,72,94,12.9,Low
66,54,65,6.1,Medium
76,67,54,6.7,Medium
88,92,94,11.5,Low
87,73,80,15.6,Low
43,19,43,3.8,High
64,63,78,7.9,Medium
70,73,73,4.4,Medium
92,78,80,9.3,Low
89,97,84,16.2,Low
83,74,75,16.0,Low
66,61,55,4.3,Medium
70,66,69,8.3,Low
76,55,66,7.8,Medium
65,58,59,9.8,Medium
85,94,97,12.6,Low
81,75,82,20.7,Low
57,56,51,9.3,Medium
65,59,64,6.0,Medium
62,74,73,7.3,Medium
22,16,52,3.9,High
40,32,54,0.3,High
58,63,66,8.8,Medium
34,30,23,0.5,High
54,28,44,3.7,High
80,79,81,13.2,Low
89,76,80,18.0,Low
95,94,94,12.5,Low
37,25,45,0.5,High
74,60,69,8.9,Low
83,84,95,9.9,Low
78,73,63,4.7,Medium
96,74,80,17.7,Low
95,76,77,15.7,Low
89,77,96,20.3,Low
91,82,98,16.0,Low
70,54,55,4.5,Medium
62,53,69,8.2,Medium
94,86,89,12.6,Low
90,90,80,10.6,Low
98,79,77,14.6,Low
79,87,87,20.1,Low
59,52,74,7.7,Medium
70,58,62,7.5,Medium
78,91,91,16.0,Low
37,23,29,2.0,High
42,36,43,1.9,High
57,66,52,4.9,Medium
96,94,82,9.8,Low
70,69,76,6.5,Low
67,73,73,5.5,Medium
82,84,85,12.6,Low
75,71,53,9.8,Low
52,18,19,3.3,High
75,61,69,9.4,Low
82,75,97,16.4,Low
78,76,78,17.7,Low
78,62,51,7.0,Medium
95,86,96,18.7,Low
87,79,75,19.0,Low
96,90,89,21.8,Low
94,86,93,15.9,Low
80,86,81,16.9,Low
80,78,77,12.6,Low
82,91,80,14.1,Low
90,91,79,12.9,Low
26,48,15,3.9,High
75,56,63,7.7,Medium
86,87,81,18.2,Low
45,17,31,2.7,High
30,27,15,3.4,High
80,92,95,16.8,Low
97,84,81,12.2,Low
86,76,86,10.7,Low
69,72,74,6.6,Low
82,80,98,17.4,Low
62,53,55,5.4,Medium
56,61,59,5.5,Medium
66,56,66,7.4,Medium
61,56,50,8.8,Medium
86,78,98,15.6,Low
87,85,78,11.9,Low
20,26,23,0.6,High
68,60,76,7.0,Medium
63,67,68,9.1,Medium
49,47,44,4.4,High
34,43,38,3.6,High
59,58,71,7.4,Medium
91,73,81,11.9,Low
67,61,62,9.2,Medium
67,60,55,6.2,Medium
61,53,55,4.7,Medium
96,97,94,20.5,Low
97,78,89,17.1,Low
77,70,60,8.7,Low
88,96,94,10.2,Low
62,57,66,10.0,Medium
45,16,16,3.6,High
45,88,60,10,Medium
66,60,77,4.2,Medium
10,10,10,0,High
78,58,67,7.7,Medium
98,90,96,17.0,Low
99,81,90,19.2,Low
77,63,64,4.5,Medium
52,24,39,2.4,High
98,87,87,18.7,Low
75,62,74,7.4,Low
72,61,53,7.8,Medium
72,74,58,8.8,Low
98,81,77,10.3,Low
22,25,40,2.5,High
44,16,52,3.7,High
74,73,58,6.4,Medium
80,84,98,21.9,Low
75,72,58,8.7,Low
63,53,77,4.8,Medium
96,97,77,15.3,Low
94,89,83,9.9,Low
77,62,73,6.4,Medium
72,68,71,8.5,Medium
72,66,71,5.2,Medium
71,57,50,9.7,Medium
77,75,69,5.6,Low
25,20,25,0.8,High
87,77,85,20.8,Low
88,78,84,9.8,Low
90,90,95,19.0,Low
77,64,70,4.8,Medium
84,86,75,12.7,Low
93,73,80,12.8,Low
79,82,80,13.2,Low
91,81,94,18.8,Low
88,97,95,12.4,Low
32,52,36,2.0,High
61,71,56,6.3,Medium
50,34,19,2.3,High
86,80,78,14.5,Low
51,36,38,2.5,High
82,91,79,13.9,Low
33,20,29,3.0,High
59,67,66,5.4,Medium
60,70,60,9.3,Medium
55,18,18,2.7,High
83,87,94,9.1,Low
71,66,64,8.8,Low
87,78,86,20.7,Low
58,74,59,7.0,Medium
90,79,88,20.7,Low
74,62,73,8.5,Low
82,88,92,10.5,Low
78,80,75,21.1,Low
61,71,73,4.5,Medium
61,64,69,8.5,Medium
71,73,72,7.8,Low
83,93,86,13.0,Low
26,34,20,2.3,High
43,43,41,0.8,High
86,81,95,12.2,Low
36,25,42,2.2,High
67,61,70,6.5,Medium
87,72,77,20.5,Low
33,15,50,2.5,High
79,77,90,16.1,Low
93,80,82,14.3,Low
92,80,82,18.8,Low
22,46,18,3.9,High
93,80,89,15.6,Low
98,75,97,11.3,Low
57,56,69,5.8,Medium
60,68,70,6.7,Medium
59,50,65,5.6,Medium
82,97,87,9.7,Low
95,97,77,9.3,Low
70,54,63,9.8,Medium
70,73,62,7.3,Medium
72,69,74,4.2,Medium
59,64,65,4.6,Medium
95,94,96,11.7,Low
37,49,38,2.9,High
55,61,67,5.7,Medium
81,98,93,13.5,Low
96,92,80,9.4,Low
45,23,19,3.8,High
48,23,32,1.5,High
91,73,84,16.3,Low
90,40,85,3,Medium
34,42,46,2.6,High
78,96,87,18.4,Low
86,98,81,19.2,Low
56,65,64,9.4,Medium
